airport,alert_airport_id,n_lightnings,start_time,end_time,n_cloud_ground,n_intra_cloud,last_cloud_ground_time,mean_dist,std_dist,mean_amplitude,mean_maxis,max_maxis,duration_total_minutes,duration_until_last_cg_minutes,density,last_lightning_is_cg,storm_size_km,start_year,start_month,start_dayofyear,start_hour,cluster
Ajaccio,1.0,5,2016-01-02 21:22:53+00:00,2016-01-02 21:28:54+00:00,5,0,2016-01-02 21:28:54+00:00,15.68149419184861,1.090555729583064,-10.888,0.76,2.6,6.016666666666667,6.016666666666667,6.493506493506493,1,5.486005624835315,2016,1,2,21,0
Ajaccio,2.0,1,2016-01-12 06:37:45+00:00,2016-01-12 06:37:45+00:00,1,0,2016-01-12 06:37:45+00:00,12.875968271727636,0.0,-13.74,0.068709,0.068709,0.0,0.0,12.705027379334002,1,0.0,2016,1,12,6,0
Ajaccio,3.0,1,2016-01-12 07:25:37+00:00,2016-01-12 07:25:37+00:00,1,0,2016-01-12 07:25:37+00:00,6.347720373461618,0.0,-25.34,0.05291,0.05291,0.0,0.0,15.89572405023049,1,0.0,2016,1,12,7,0
Ajaccio,4.0,1,2016-02-07 14:05:14+00:00,2016-02-07 14:05:14+00:00,1,0,2016-02-07 14:05:14+00:00,3.0333816214079987,0.0,-24.81,0.05,0.05,0.0,0.0,16.666666666666664,1,0.0,2016,2,38,14,0
Ajaccio,5.0,1,2016-02-07 14:35:39+00:00,2016-02-07 14:35:39+00:00,1,0,2016-02-07 14:35:39+00:00,17.92717623301275,0.0,-11.78,0.116,0.116,0.0,0.0,7.936507936507937,1,0.0,2016,2,38,14,0
Ajaccio,6.0,28,2016-02-25 14:10:03+00:00,2016-02-25 15:02:18+00:00,28,0,2016-02-25 15:02:18+00:00,9.150278490513127,4.713396118088683,-25.477857142857143,0.9109285714285714,4.568,52.25,52.25,30.404095245482043,1,41.53775798621321,2016,2,56,14,1
Ajaccio,7.0,2,2016-02-27 17:26:37+00:00,2016-02-27 17:26:37+00:00,2,0,2016-02-27 17:26:37+00:00,14.027840052174188,5.1365639329722885,-47.76,1.1055,2.16,0.0,0.0,1.792917974002689,1,10.41232271790496,2016,2,58,17,1
Ajaccio,8.0,27,2016-03-05 11:53:10+00:00,2016-03-05 12:32:56+00:00,27,0,2016-03-05 12:32:56+00:00,11.328063359276424,4.685682971436058,-19.392222222222223,0.1522222222222222,0.54,39.766666666666666,39.766666666666666,166.43835616438355,1,44.44911785134893,2016,3,65,11,1
Ajaccio,9.0,6,2016-03-06 06:05:50+00:00,2016-03-06 06:19:14+00:00,6,0,2016-03-06 06:19:14+00:00,13.727353002671874,3.640623327536945,-73.03333333333333,0.2269999999999999,0.86,13.4,13.4,25.31645569620253,1,13.366394767854375,2016,3,66,6,0
Ajaccio,10.0,1,2016-03-17 13:33:09+00:00,2016-03-17 13:33:09+00:00,1,0,2016-03-17 13:33:09+00:00,15.29292996438877,0.0,62.11,2.126,2.126,0.0,0.0,0.4681647940074907,1,0.0,2016,3,77,13,2
Ajaccio,11.0,2,2016-03-23 16:15:24+00:00,2016-03-23 16:43:41+00:00,2,0,2016-03-23 16:43:41+00:00,16.164373317078343,4.854573456162021,-4.369999999999999,1.0345,1.9,28.28333333333333,28.28333333333333,1.9147917663954048,1,7.727208421908086,2016,3,83,16,1
Ajaccio,12.0,11,2016-05-10 23:10:09+00:00,2016-05-10 23:44:58+00:00,11,0,2016-05-10 23:44:58+00:00,11.055459066437605,4.237769619484146,5.864545454545453,1.2200909090909091,3.927,34.81666666666667,34.81666666666667,8.942428497524203,1,35.47762170198043,2016,5,131,23,1
Ajaccio,13.0,2,2016-05-12 02:31:21+00:00,2016-05-12 02:41:37+00:00,2,0,2016-05-12 02:41:37+00:00,6.710987855193161,0.9701185557396386,-56.835,0.072,0.078,10.266666666666667,10.266666666666667,24.390243902439025,1,10.934305245916583,2016,5,133,2,0
Ajaccio,14.0,6,2016-05-12 03:40:47+00:00,2016-05-12 04:05:52+00:00,6,0,2016-05-12 04:05:52+00:00,14.598475607561824,2.4285985915293056,-84.17666666666666,0.2158333333333333,0.689,25.08333333333333,25.08333333333333,26.568265682656826,1,9.408371862559958,2016,5,133,3,0
Ajaccio,15.0,2,2016-05-29 02:56:25+00:00,2016-05-29 02:59:09+00:00,2,0,2016-05-29 02:59:09+00:00,15.763795823891916,5.087016203803022,0.3400000000000016,1.684,2.778,2.7333333333333334,2.7333333333333334,1.180637544273908,1,13.606502798702603,2016,5,150,2,1
Ajaccio,16.0,3,2016-05-29 08:05:14+00:00,2016-05-29 08:11:26+00:00,3,0,2016-05-29 08:11:26+00:00,15.718371119270612,0.3870801020309875,-8.216666666666667,0.2516666666666666,0.405,6.2,6.2,11.464968152866245,1,4.8272695550987015,2016,5,150,8,0
Ajaccio,17.0,2,2016-06-07 13:02:11+00:00,2016-06-07 13:30:33+00:00,2,0,2016-06-07 13:30:33+00:00,17.863986228062558,2.0946154499077063,-47.825,0.456,0.795,28.366666666666667,28.366666666666667,4.291845493562231,1,18.4349888365964,2016,6,159,13,0
