airport,alert_airport_id,start_time,end_time,duration_minutes,prox_ratio,lightning_per_minute,n_lightnings,ic_ratio,is_last_cloud,mean_amplitude,mean_maxis,max_maxis,std_maxis,lat_mean,lon_mean,lat_std,lon_std,lat_delta,lon_delta,mean_dist,min_dist,mean_azimuth_sin,mean_azimuth_cos,start_hour,start_month,start_dayofyear,speed,storm_surface,hour_sin,hour_cos,log_n_lightnings,log_lightning_per_minute,log_storm_surface,storm_type,pca_1,pca_2
Ajaccio,1.0,2016-01-02 21:22:53+00:00,2016-01-02 21:28:54+00:00,6.016666666666667,0.0,1.1634349030470914,7,0.2857142857142857,0,12.012857142857143,0.7142857142857143,2.6,0.8629958891917763,42.05219999999999,8.8813,0.0068619725055321,0.0310039244827703,0.0076000000000036,0.0602,15.827550219866836,14.313391140930593,0.5015197316826476,0.8513088197788562,21,1,2,0.060677837799315605,0.00021274807736436333,-0.7071067811865477,0.7071067811865474,2.0794415416798357,0.771697191506805,0.0002127254497014232,1,-0.7229691350855738,-0.44559216919610095
Ajaccio,2.0,2016-01-12 06:37:45+00:00,2016-01-12 06:37:45+00:00,0.0,0.0,1.0,1,0.0,0,13.74,0.068709,0.068709,0.0,42.0213,8.8867,0.0,0.0,0.0,0.0,12.875968271727636,12.875968271727636,0.6510472584743996,0.7590371975291911,6,1,12,0.0,0.0,1.0,6.123233995736766e-17,0.6931471805599453,0.6931471805599453,0.0,1,-1.7309857222316622,0.30301115107416343
Ajaccio,3.0,2016-01-12 07:25:37+00:00,2016-01-12 07:25:37+00:00,0.0,0.0,2.0,2,0.5,1,19.08,0.0772825,0.101655,0.0344679200489382,41.9802,8.756499999999999,0.0592555482634352,0.0393151370339721,0.0838000000000036,0.0556,8.700188087075729,6.347720373461618,-0.5832441247443911,0.5884851925099982,7,1,12,0.10056739034100767,0.002329640000000103,0.9659258262890683,-0.25881904510252063,1.0986122886681098,1.0986122886681098,0.0023269305958768783,0,0.8541791044538781,0.7207744511205242
Ajaccio,4.0,2016-02-07 14:05:14+00:00,2016-02-07 14:05:14+00:00,0.0,1.0,2.0,2,0.5,1,28.695,0.1055,0.161,0.0784888527117067,41.8996,8.81245,0.0031112698372236,0.0010606601717798,0.0044000000000039,-0.0015,2.7813670863783724,2.5293525513487465,0.3700972739053602,-0.9289818744147796,14,2,38,0.004648655719671475,3.300000000002894e-06,-0.4999999999999997,-0.8660254037844388,1.0986122886681098,1.0986122886681098,3.2999945550148726e-06,2,0.014989048490219004,7.126774100977275
Ajaccio,5.0,2016-02-07 14:35:39+00:00,2016-02-07 14:35:39+00:00,0.0,0.0,2.0,2,0.5,1,11.175,0.1205,0.125,0.0063639610306789,42.0806,8.7561,0.0019798989873227,0.0079195959492884,-0.0028000000000005,-0.0111999999999987,17.875328129384627,17.8234800257565,-0.2854375959872046,0.9577514926046122,14,2,38,0.011544695751728309,1.568000000000106e-05,-0.4999999999999997,-0.8660254037844388,1.0986122886681098,1.0986122886681098,1.5679877070086087e-05,1,-1.0557214358798666,-0.8202887435864363
Ajaccio,6.0,2016-02-25 14:10:03+00:00,2016-02-25 15:02:18+00:00,52.25,0.2156862745098039,0.9760765550239234,51,0.4509803921568627,1,30.223921568627443,0.8661176470588237,4.568,1.318124161785358,41.93994509803923,8.83223137254902,0.0508207725786437,0.104791519676348,-0.049599999999998,0.1981000000000001,9.485322085888582,0.9654976150656398,0.1555524474745125,0.1019719230861687,14,2,56,0.2042150092427093,0.0053255859896421485,-0.4999999999999997,-0.8660254037844388,3.9512437185814275,0.6811133409962218,0.005311455204182046,0,1.9224576724263758,1.5513971414051548
Ajaccio,7.0,2016-02-27 17:26:37+00:00,2016-02-27 17:26:37+00:00,0.0,0.0,2.0,2,0.0,0,47.76,1.1055,2.16,1.491288201522429,41.85325,8.936250000000001,0.0651245345472774,0.016899852070358,0.0920999999999949,-0.0238999999999993,14.027840052174188,10.39574086317124,0.8804995041996453,-0.4107451978596451,17,2,58,0.09515051234753823,0.0011005949999999072,-0.9659258262890683,-0.25881904510252063,1.0986122886681098,1.0986122886681098,0.0010999897893434062,1,-0.3754481134246926,-0.025661619490963312
Ajaccio,8.0,2016-03-05 11:53:10+00:00,2016-03-05 12:32:56+00:00,39.766666666666666,0.0634920634920634,1.584241408214585,63,0.5714285714285714,0,14.37698412698413,0.4064920634920634,4.57,0.7287668965122696,41.90488888888889,8.810203174603174,0.0803077891837663,0.1270842113086945,-0.004800000000003,0.3751999999999995,13.002742859481565,0.9458219457145832,0.0937512568516901,-0.0419569203122783,11,3,65,0.3752307023685557,0.010205852050363846,0.258819045102521,-0.9659258262890682,4.1588830833596715,0.9494320057882342,0.010154123997185925,0,3.3746658363662387,-0.15707307019335087
Ajaccio,9.0,2016-03-06 06:05:50+00:00,2016-03-06 06:19:14+00:00,13.4,0.0,1.1940298507462686,16,0.625,1,34.019375,0.6209999999999999,4.883,1.21359504503493,41.99005,8.66826875,0.026517088829659,0.0264926334100633,0.0536000000000029,0.0675000000000007,13.632362693000484,7.832588525133553,-0.8835330521338358,0.435224986011286,6,3,66,0.08619286513395645,0.0007025075134662403,1.0,6.123233995736766e-17,2.833213344056216,0.7857399673877702,0.0007022608705685681,1,0.07008536568491752,-0.093980059066146
Ajaccio,10.0,2016-03-17 13:33:09+00:00,2016-03-17 13:33:09+00:00,0.0,0.0,1.0,1,0.0,0,62.11,2.126,2.126,0.0,41.8105,8.9082,0.0,0.0,0.0,0.0,15.29292996438877,15.29292996438877,0.6814185279188392,-0.7318939744313532,13,3,77,0.0,0.0,-0.2588190451025208,-0.9659258262890683,0.6931471805599453,0.6931471805599453,0.0,1,-2.065861489272563,0.010841339672587446
